# time,x_position,y_position,z_position
90.92909291,127455.18630571,83258.42882909,3194.10515329
90.93909391,126387.64282744,84105.32906136,3853.45201041
90.94909491,125172.03986431,84739.68089945,4494.22809545
90.95909591,123848.86420658,85135.46401208,5115.09469214
90.96909691,122465.21013558,85274.47586212,5716.20626857
90.97909791,121073.99783128,85146.76984009,6299.20036584
90.98909891,119727.91045124,84752.07342793,6867.27331447
90.99909991,118484.67575317,84096.30219778,7425.94161908
91.00910091,117399.32630213,83200.32828179,7983.25152166
91.01910191,116522.42106677,82101.38843080,8549.76278748
91.02910291,115899.63124146,80852.74928453,9138.42471156
91.03910391,115562.20295443,79516.12343628,9762.71012234
91.04910491,115528.67833902,78163.46479233,10438.39425298
91.05910591,115796.25172029,76870.00578427,11178.71021201
91.06910691,116337.14636071,75711.31075199,11992.90710309
91.07910791,117102.43848736,74757.47306761,12885.84817831
91.08910891,118031.58754017,74061.92146968,13857.28512655
91.09910991,119053.49428947,73663.13643056,14900.65822684
91.10911091,120091.97668539,73575.82444969,16001.80630139
91.11911191,121068.39035755,73791.76312156,17139.79406494
91.12911291,121916.88720134,74289.05882732,18291.59722741
91.13911391,122579.96498308,75033.53842453,19431.16831110
91.14911491,123014.10855509,75978.98630452,20532.48231161
91.15911591,123190.86239605,77068.01528776,21570.14043171
91.16911691,123095.39908686,78242.38511787,22521.49793317
91.17911791,122722.25172656,79442.62510969,23365.30590423
91.18911891,122078.70194235,80609.18460738,24085.02775277
91.19911991,121185.42439460,81683.74838802,24669.63779196
91.20912091,120075.06138525,82611.79343557,25113.89220391
91.21912191,118785.60340197,83344.04765870,25416.12873252
91.22912291,117363.32092760,83834.58726676,25579.68940351
91.23912391,115863.97589679,84048.54393606,25616.43712534
91.24912491,114352.79380590,83962.31266121,25546.81841442
91.25912591,112900.66227994,83564.53765866,25398.39829813
91.26912691,111577.37459592,82858.58705996,25203.72349112
91.27912791,110452.87867441,81867.15793887,25002.93451550
91.28912891,109590.12832719,80635.45980116,24841.51501228
91.29912991,109040.61020579,79228.99313020,24767.48021267
91.30913091,108836.21720497,77732.00893495,24827.22505640
91.31913191,108978.69216555,76244.24252053,25059.08784683
91.32913291,109439.65390975,74870.00819782,25489.13872116
91.33913391,110165.66375158,73710.62550818,26131.59340347
91.34913491,111077.72750033,72845.96424911,26978.56395556
91.35913591,112072.41116301,72330.71367962,27998.71473385
91.36913691,113047.67633246,72189.31911364,29147.62929904
91.37913791,113908.46256234,72419.65287814,30370.66340321
91.38913891,114574.36840471,72989.37554495,31606.54511504
91.39913991,114984.42030592,73838.27080321,32791.07810690
91.40914091,115099.88519506,74897.33110824,33866.08733694
91.41914191,114901.55842966,76087.72218180,34779.55162630
91.42914291,114393.82777276,77323.72779178,35491.19108581
91.43914391,113601.17059446,78519.59136943,35973.37810124
91.44914491,112560.46781164,79592.51389686,36207.76963398
91.45914591,111324.27907354,80466.17128016,36191.09289445
91.46914691,109961.37847848,81074.50410489,35937.73436533
91.47914791,108550.23145646,81366.85324114,35477.25785110
91.48914891,107176.05925429,81303.59560052,34849.95241502
91.49914991,105927.43063928,80869.90644956,34111.47680614
91.50915092,104892.78128325,80082.77490441,33333.77573265
91.51915192,104151.37654472,78989.49742831,32597.34450538
91.52915292,103766.43379615,77663.90918154,31983.59487776
91.53915392,103772.07672201,76208.07274183,31568.01572368
91.54915492,104159.97460971,74752.08730383,31410.75974415
91.55915592,104883.76906044,73431.03877257,31547.38753878
91.56915692,105865.09319632,72368.76069849,31986.79231850
91.57915792,106997.65116159,71659.70468226,32703.55453955
91.58915892,108153.10667404,71359.19172936,33636.15699325
91.59915992,109214.69293907,71482.45221582,34708.18548762
91.60916092,110081.09418653,72008.80355486,35833.10057608
91.61916192,110677.27338383,72878.22454522,36921.22969520
91.62916292,110957.53310776,74007.88093669,37890.01883284
91.63916392,110901.20868285,75305.18485057,38668.41573794
91.64916492,110515.63391377,76669.02144379,39202.93441992
91.65916592,109834.22327016,77996.57980410,39459.98410593
91.66916692,108905.46272077,79191.24819624,39421.49798833
91.67916792,107794.50220879,80165.20435330,39089.18583234
91.68916892,106582.79572044,80845.97352574,38488.17664917
91.69916992,105359.87238592,81180.34603966,37661.49778699
91.70917092,104221.29479487,81132.35064926,36666.31607430
91.71917192,103261.27600081,80699.56561151,35576.78498809
91.72917292,102568.40319358,79916.15977866,34482.13100304
91.73917392,102214.44901612,78847.38840289,33472.51962684
91.74917492,102250.15271209,77587.93778031,32635.22787026
91.75917592,102683.76803097,76261.75127142,32040.76433903
91.76917692,103481.38840217,75011.53075899,31737.16803693
91.77917792,104576.45748083,73968.58201433,31741.64772666
91.78917892,105872.24482552,73242.53727176,32040.33849360
91.79917992,107246.67659101,72903.66181222,32582.32018870
91.80918092,108579.68192615,72981.57327022,33297.02944389
91.81918192,109764.91429549,73468.82849841,34104.23543315
91.82918292,110718.52369557,74318.71239864,34919.73216920
91.83918392,111383.77485395,75458.25146363,35664.40542440
91.84918492,111727.89430547,76803.52469186,36269.66875996
91.85918592,111744.20791931,78261.67886126,36681.89548317
91.86918692,111451.25801208,79737.06286663,36864.84457160
91.87918792,110881.79328490,81139.19964845,36795.46370285
91.88918892,110083.26984681,82383.89775440,36465.55219373
91.89918992,109118.73434065,83399.17091256,35885.35841302
91.90919092,108062.12256485,84128.09204798,35081.06280384
91.91919192,106991.42746190,84527.26042149,34087.83279084
91.92919292,105989.29534113,84573.17887000,32952.82181312
91.93919392,105138.42168537,84270.31223459,31735.26870371
91.94919492,104515.93305795,83649.87108106,30501.77174445
91.95919592,104189.54996692,82765.27164377,29318.32144425
91.96919692,104208.81084201,81693.93788418,28247.47506923
91.97919792,104591.96539313,80537.92384216,27341.73625785
91.98919892,105326.90949175,79414.51009538,26639.79681952
91.99919992,106375.24303437,78433.96245817,26159.52146727
92.00920092,107672.23235554,77694.53259771,25900.42701342
92.01920192,109127.12464958,77267.08735455,25838.65974419
92.02920292,110637.97883881,77193.03949339,25933.82646158
92.03920392,112110.67775491,77484.07185822,26139.65993665
92.04920492,113459.81031298,78122.73919437,26405.20796110
92.05920592,114616.11395613,79064.03028327,26678.92698423
92.06920692,115528.62999569,80251.20352143,26914.84427672
92.07920792,116163.80418983,81618.34630992,27073.31292910
92.08920892,116507.78705450,83094.03666321,27123.39504355
92.09920992,116562.35843664,84607.55173563,27042.63265626
